하이랜더 코스튬	Highlander Costume
펠타스타 코스튬	Peltasta Costume
하플라이트 코스튬	Hoplite Costume
센츄리온 코스튬	Centurion Costume
바바리안 코스튬	Barbarian Costume
캐터프랙트 코스튬	Cataphract Costume
커세어 코스튬	Corsair Costume
도펠죌트너 코스튬	Doppelsoeldner Costume
로델레로 코스튬	Rodelero Costume
스콰이어 코스튬	Squire Costume
파이로맨서 코스튬	Pyromancer Costume
크리오맨서 코스튬	Cryomancer Costume
사이코키노 코스튬	Psychokino Costume
알케미스트 코스튬	Alchemist Costume
소서러 코스튬	Sorcerer Costume
링커 코스튬	Linker Costume
크로노맨서 코스튬	Chronomancer Costume
네크로맨서 코스튬	Necromancer Costume
쏘마터지 코스튬	Thaumaturge Costume
엘레멘탈리스트 코스튬	Elementalist Costume
헌터 코스튬	Hunter Costume
쿼렐슈터 코스튬	Quarrelshooter Costume
레인저 코스튬	Ranger Costume
새퍼 코스튬	Sapper Costume
우구시 코스튬	Wugushi Costume
하카펠 코스튬	Hackapell Costume
스카우트 코스튬	Scout Costume
로그 코스튬	Rogue Costume
슈바르츠라이터 코스튬	Schwarze Reiter Costume
플레처 코스튬	Fletcher Costume
프리스트 코스튬	Priest Costume
크리비 코스튬	Krivi Costume
보코르 코스튬	Bokor Costume
드루이드 코스튬	Druid Costume
사두 코스튬	Sadu Costume
딥디르비 코스튬	Dievdirbys Costume
오라클 코스튬	Oracle Costume
몽크 코스튬	Monk Costume
파드너 코스튬	Pardoner Costume
팔라딘 코스튬	Paladin Costume
고양이 귀	Cat Ear
묶은 머리	Ponytail
고글	Goggle
레푸스버니 머리띠	Lepusbunny Hairband
은행잎	Ginkgo Leaf
호랑나비	Tiger Butterfly
독수리깃	Eagle Git
머슈카리아 모자	Mushcaria Cat
왕관	King Crown
흰꽃 머리핀	White Flower Hair Pin
호랑이 가면	Tiger Mask
티니 인형	Tiny Doll
날개 투구	Wing Helmet
천사 날개 장식	Engel Wing Decoration
둥지튼 알	Nesting Egg
둥지튼 병아리	Nesting Chick
둥지튼 닭	Nesting Chicken
제식모	Military Cap
신사의 품격	Dignity of Gentleman
세련된 안경	Polished Glassess
얼음 주머니	Ice Pocket
해당화	Sweetbrier
깃털 모자	Feather Cap
단풍잎	Maple Leaf
붉은술모자	Red Alcohol Cap
간호사 머리띠	Nurse Hairband
카틴 꽃 장식	Kateen Flower Decoration
강아지귀	Dog Ear
젖소 머리띠	Milk Hairband
작은 사자탈	Small Lion Mask
큰 사자탈	Big Lion Mask
텐구가면	Tengu Mask
여우가면	Fox Mask
이세계의안경	Ultramundane of Glassess
산양뿔	Horn of Goat
악마 날개 장식	Devil Wing Decoration
은머리장식	Sliver Head Decoration
곰안대	Bear Eye Patch
부의 상징	Symbol of Wealth
금토끼장식	Gold Rabbit Decoration
사슴뿔장식	Deer Horn Decoration
장교 투구	Officer Helmet
금테 투구	Gilded Frame Helmet
강철 투구	Steel Helmet
까만토끼귀	Black Rabbit Ear
케파 인형	Kepa Doll
핑크 바니	Pink Bunny
말뚝이	Stake
백호가면	White Tiger Mask
안경	Glassess
유니콘 뿔	Horn of Unicon
붉은 뿔	Red Horn
사막 츄파카브라귀	Desert Chupacabra Ear
미르티스 투구	Mirtis Helmet
붉은 악마날개	Red Devil Wing
천사날개	Angel Wing
타락천사날개	Fallen Angel Wing
메이드 머리띠	Maid hair band
우구시 투구	Wugushi Helmet
귀마개	Earplug
메두사헤드	Medusa Head
파초선	Wrecked Ship
버블스틱	Buble Stick
클로	Claw
아이언 클로	Iron Claw
스틸 클로	Steel Claw
포레스트 클로	Forest Claw
로카스 클로	Rokas Claw
투스	Tooth
아이언 투스	Iron Tooth
스틸 투스	Steel Tooth
실버 팽	Silver Fang
티타늄 클로	Titanium Claw
헤비 티타늄 클로	Heavy Titanium Claw